"termo_vcge_1","sit","termo_vcge_2A","termo_vcge_2B"
"Convenção das nações unidas de combate à desertificação","H","Meio ambiente","Meio ambiente"
"Degradação da terra nas áreas semi-áridas e subúmidas secas","H","Meio ambiente","Meio ambiente"
"Erosão do solo","H","Meio ambiente","Meio ambiente"
"Mitigação dos efeitos das secas","H","Meio ambiente","Meio ambiente"
"Combate ao desmatamento","H","Meio ambiente","Meio ambiente"
"Áreas desmatadas","H","Meio ambiente","Meio ambiente"
"Desmatamento ilegal","H","Meio ambiente","Meio ambiente"
"Desmatamento na Amazônia","H","Meio ambiente","Meio ambiente"
"Exploração ilegal de madeira","H","Meio ambiente","Meio ambiente"
"Prevenção e controle do meio ambiente","H","Meio ambiente","Meio ambiente"
"Fragmentação","H","Meio ambiente","Meio ambiente"
"Monitoramento","H","Meio ambiente","Meio ambiente"
"Detecção do desmatamento em tempo real - DETER","H","Meio ambiente","Meio ambiente"
"Energia e meio ambiente","H","Meio ambiente","Meio ambiente"
"Conservação de energia","H","Meio ambiente","Meio ambiente"
"Eficiência energética","H","Meio ambiente","Meio ambiente"
"Energia não renováveis","H","Meio ambiente","Meio ambiente"
"Carvão mineral","H","Meio ambiente","Meio ambiente"
"Energia nuclear","H","Meio ambiente","Meio ambiente"
"Gás natural","H","Meio ambiente","Meio ambiente"
"Petróleo","H","Meio ambiente","Meio ambiente"
"Energias renováveis","H","Meio ambiente","Meio ambiente"
"Biomassa","H","Meio ambiente","Meio ambiente"
"Biocombustível","H","Meio ambiente","Meio ambiente"
"Biogás","H","Meio ambiente","Meio ambiente"
"Esgoto sanitário","H","Meio ambiente","Meio ambiente"
"Resíduos agropecuários","H","Meio ambiente","Meio ambiente"
"Resíduos florestais","H","Meio ambiente","Meio ambiente"
"Resíduos sólidos urbanos","H","Meio ambiente","Meio ambiente"
"Eólica","H","Meio ambiente","Meio ambiente"
"Geotérmica","H","Meio ambiente","Meio ambiente"
"Hídrica","H","Meio ambiente","Meio ambiente"
"Maremotriz","H","Meio ambiente","Meio ambiente"
"Solar","H","Meio ambiente","Meio ambiente"
"Matriz energética ambientalmente adequada","H","Meio ambiente","Meio ambiente"
"Monitoramento do meio ambiente","H","Meio ambiente","Meio ambiente"
"Avaliação da qualidade ambiental","H","Meio ambiente","Meio ambiente"
"Indicadores ambientais","H","Meio ambiente","Meio ambiente"
"Mudanças climáticas","H","Meio ambiente","Meio ambiente"
"Adaptação à mudança do clima","H","Meio ambiente","Meio ambiente"
"Aquecimento global","H","Meio ambiente","Meio ambiente"
"Convenção sobre mudança do clima","H","Meio ambiente","Meio ambiente"
"Efeito estufa","H","Meio ambiente","Meio ambiente"
"Mecanismo de desenvolvimento limpo - MDL","H","Meio ambiente","Meio ambiente"
"Mitigação da mudança do clima","H","Meio ambiente","Meio ambiente"
"Protocolo de Quioto","H","Meio ambiente","Meio ambiente"
"Resíduos e rejeitos","H","Meio ambiente","Meio ambiente"
"Aterros sanitários","H","Meio ambiente","Meio ambiente"
"Cemitérios","H","Meio ambiente","Meio ambiente"
"Drenagem pluvial","H","Meio ambiente","Meio ambiente"
"Gestão integrada de resíduos sólidos urbanos","H","Meio ambiente","Meio ambiente"
"Consórcios públicos","H","Meio ambiente","Meio ambiente"
"Valorização dos resíduos sólidos","H","Meio ambiente","Meio ambiente"
"Minimização de rejeitos","H","Meio ambiente","Meio ambiente"
"Materiais perigosos","H","Meio ambiente","Meio ambiente"
"Minimização dos impactos gerados por resíduos perigosos","H","Meio ambiente","Meio ambiente"
"Resíduos hospitalares","H","Meio ambiente","Meio ambiente"
"Resíduos químicos","H","Meio ambiente","Meio ambiente"
"Resíduos radiotivos","H","Meio ambiente","Meio ambiente"
"Resíduos tóxicos","H","Meio ambiente","Meio ambiente"
"Reciclagem","H","Meio ambiente","Meio ambiente"
"Resíduos comerciais","H","Meio ambiente","Meio ambiente"
"Resíduos da construção civil e demolição","H","Meio ambiente","Meio ambiente"
"Resíduos domiciliares","H","Meio ambiente","Meio ambiente"
"Resíduos rurais","H","Meio ambiente","Meio ambiente"
"Agrotóxicos","H","Meio ambiente","Meio ambiente"
"Saneamento ambiental urbano","H","Meio ambiente","Meio ambiente"
"Tratamento e disposição de esgoto","H","Meio ambiente","Meio ambiente"
"Segurança química","H","Meio ambiente","Meio ambiente"
"Substâncias químicas","H","Meio ambiente","Meio ambiente"
"Emergências ambientais","H","Meio ambiente","Meio ambiente"
"Gerenciamento de áreas contaminadas","H","Meio ambiente","Meio ambiente"
"Gerenciamento de substancias e resíduos","H","Meio ambiente","Meio ambiente"
"Agrotóxicos","H","Meio ambiente","Meio ambiente"
"Comissão nacional de segurança química - CONASQ","H","Meio ambiente","Meio ambiente"
"Fórum intergovernamental","H","Meio ambiente","Meio ambiente"
"Gestão internacional das substâncias químicas - SAICM","H","Meio ambiente","Meio ambiente"
"Movimento transfronteiriços","H","Meio ambiente","Meio ambiente"
"Pneus","H","Meio ambiente","Meio ambiente"
"Poluentes orgânicos persistentes","H","Meio ambiente","Meio ambiente"
"Registro de emissão e transferências de poluentes","H","Meio ambiente","Meio ambiente"
"Resíduos perigosos","H","Meio ambiente","Meio ambiente"
"Prevenção e combate à poluição","H","Meio ambiente","Meio ambiente"
"Pessoa, família e sociedade","X","",""
"Assistência e desenvolvimento social","C","Proteção Social","Proteção Social"
"Auxilio sociais","H","Proteção Social","Proteção Social"
"Entidades de assistência","H","Proteção Social","Proteção Social"
"Programas de transferência de renda","H","Proteção Social","Proteção Social"
"Proteção social básica","H","Proteção Social","Proteção Social"
"Proteção social especial à pessoa em situação de risco","H","Proteção Social","Proteção Social"
"Trabalho social voluntário","H","Proteção Social","Proteção Social"
"Comunidade e sociedade","C","Proteção Social","Proteção Social"
"Minorias","H","Proteção Social","Proteção Social"
"Povos indígenas","H","Proteção Social","Proteção Social"
"Família","X","",""
"Adoção","X","",""
"Formas de união","X","",""
"Casamento","X","",""
"Concubinato","X","",""
"Parceria","X","",""
"União estável","X","",""
"Pensão alimentícia e alimentos","X","",""
"Planejamento familiar","X","",""
"Poder familiar","X","",""
"Reconhecimento de filho","X","",""
"Separação e divorcio","X","",""
"Sucessão","X","",""
"Tutela e curatela","X","",""
"Pessoa","X","",""
"Direitos e deveres individuais","X","",""
"Estatuto da criança e do adolescente","X","",""
"Estatuto do idoso","X","",""
"Estatuto do índio","X","",""
"Direitos humanos","X","",""
"Identificação pessoal","X","",""
"Achados e perdidos","X","",""
"Alistamento militar","X","",""
"Atestado de antecedentes","X","",""
"Carteira de estudante","X","",""
"Carteira de identidade","X","",""
"Carteira de trabalho","X","",""
"Carteira nacional de habilitação","X","",""
"Certidões","X","",""
"CPF","X","",""
"Passaporte","X","",""
"Registro de nascimento","X","",""
"Título de eleitor","X","",""
"Previdência social","C","Previdência Social","Previdência Social"
"Beneficio assistencial ao idoso e ao deficiente","H","Previdência Social","Previdência Social"
"Beneficio previdenciários","H","Previdência Social","Previdência Social"
"Aposentadoria especial","H","Previdência Social","Previdência Social"
"Aposentadoria por idade","H","Previdência Social","Previdência Social"
"Aposentadoria por invalidez","H","Previdência Social","Previdência Social"
"Aposentadoria por tempo de contribuição","H","Previdência Social","Previdência Social"
"Auxilio doença","H","Previdência Social","Previdência Social"
"Auxilio reclusão","H","Previdência Social","Previdência Social"
"Pensão por morte","H","Previdência Social","Previdência Social"
"Salário família","H","Previdência Social","Previdência Social"
"Salário maternidade","H","Previdência Social","Previdência Social"
"Pensões","H","Previdência Social","Previdência Social"
"Previdência básica","C","Previdência Social/Previdência Básica","Previdência Básica"
"Previdência complementar","C","Previdência Social/Previdência Complementar","Previdência Complementar"
"Previdência do regime estatutário","H","Previdência Social","Previdência Social"
"Previdência do servidor","H","Previdência Social","Previdência Social"
"Reabilitação profissional","H","Previdência Social","Previdência Social"
"Proteção e defesa do cidadão","C","Proteção Social/Combate a desigualdade","Combate a desigualdade"
"Assistência jurídica gratuita","H","Proteção Social/Combate a desigualdade","Combate a desigualdade"
"Classificação indicativa de vídeos, jogos, cinemas e outros","H","Proteção Social/Combate a desigualdade","Combate a desigualdade"
"Defesa do consumidor","H","Proteção Social/Combate a desigualdade","Combate a desigualdade"
"Denúncia","H","Proteção Social/Combate a desigualdade","Combate a desigualdade"
"Ouvidoria","H","Proteção Social/Combate a desigualdade","Combate a desigualdade"
"Sociedade Civil - Organização e participação","X","",""
"Associação","X","",""
"Sindicato","X","",""
"Conferências","X","",""
"Conselhos","X","",""
"Entidades de interesse publico","X","",""
"Fundação","X","",""
"Organização da sociedade civil de interesse publico","X","",""
"Organização religiosa","X","",""
"Partido político","X","",""
"Relações internacionais","C","Relações Internacionais","Relações Internacionais"
"Estrangeiro","H","Relações Internacionais","Relações Internacionais"
"Carteira de identificação do estrangeiro","H","Relações Internacionais","Relações Internacionais"
"Extradição","H","Relações Internacionais","Relações Internacionais"
"Igualdade de direitos do estrangeiro","H","Relações Internacionais","Relações Internacionais"
"Naturalização","H","Relações Internacionais","Relações Internacionais"
"Permanência do estrangeiro","H","Relações Internacionais","Relações Internacionais"
"Trabalho estrangeiro","H","Relações Internacionais","Relações Internacionais"
"Organizações internacionais","H","Relações Internacionais","Relações Internacionais"
"Grupos e organismos políticos internacionais","H","Relações Internacionais","Relações Internacionais"
"Política externa","H","Relações Internacionais","Relações Internacionais"
"Acordos internacionais","H","Relações Internacionais","Relações Internacionais"
"Asilo político","H","Relações Internacionais","Relações Internacionais"
"Convenção internacional","H","Relações Internacionais","Relações Internacionais"
"Tratado internacional","H","Relações Internacionais","Relações Internacionais"
"Cooperação jurídica internacional","H","Relações Internacionais","Relações Internacionais"
"Mercosul e integração regional","H","Relações Internacionais","Relações Internacionais"
"Relações bilaterais","H","Relações Internacionais","Relações Internacionais"
"Promoção comercial internacional","C","Comércio e Serviços/Comercio externo","Comercio externo"
"Relações diplomáticas","C","Relações Internacionais/Relações Diplomáticas","Relações Diplomáticas"
"Serviços consulares","H","Relações Internacionais","Relações Internacionais"
"Representações brasileira no exterior","H","Relações Internacionais","Relações Internacionais"
"Representações estrangeira no Brasil","H","Relações Internacionais","Relações Internacionais"
"Saúde","C","Saúde","Saúde"
"Alimentação e nutrição","H","Saúde","Saúde"
"Alimentação saudável","H","Saúde","Saúde"
"Segurança alimentar e nutricional","H","Saúde","Saúde"
"Transtornos alimentares","H","Saúde","Saúde"
"Desnutrição","H","Saúde","Saúde"
"Obesidade","H","Saúde","Saúde"
"Ambiente e saúde","H","Saúde","Saúde"
"Resíduos de serviços de saúde","H","Saúde","Saúde"
"Resíduos industriais","H","Saúde","Saúde"
"Resíduos perigosos","H","Saúde","Saúde"
"Saneamento","H","Saúde","Saúde"
"Arquitetura e engenharia em saúde","H","Saúde","Saúde"
"Equipamentos médico-hospitalares","H","Saúde","Saúde"
"Auditoria em saúde","H","Saúde","Saúde"
"Ciência e tecnologia em saúde","H","Saúde","Saúde"
"Bioética","H","Saúde","Saúde"
"Pesquisa em saúde","H","Saúde","Saúde"
"Tecnologia em saúde","H","Saúde","Saúde"
"Educação para a saúde","H","Saúde","Saúde"
"Campanhas de saúde","H","Saúde","Saúde"
"AIDS","H","Saúde","Saúde"
"Dengue","H","Saúde","Saúde"
"DST","H","Saúde","Saúde"
"Gripe","H","Saúde","Saúde"
"Paralisia infantil","H","Saúde","Saúde"
"Emergências e Urgências","H","Saúde","Saúde"
"Primeiros socorros","H","Saúde","Saúde"
"Bombeiro 193","H","Saúde","Saúde"
"SAMU 192","H","Saúde","Saúde"
"UPA 24 horas","H","Saúde","Saúde"
"Pronto socorro","H","Saúde","Saúde"
"Ética de profissionais de saúde","H","Saúde","Saúde"
"Farmácia","C","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Farmácia básica","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Farmácia hospitalar","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Farmácia popular","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Humanização na saúde","H","Saúde","Saúde"
"Infecção hospitalar","C","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Legislação de saúde","H","Saúde","Saúde"
"Medicamentos","C","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Custos de medicamentos","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicamentos essenciais","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicamentos fitoterápicos","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicamentos fracionados","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicamentos genéricos","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicamentos proibidos","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicamentos similares","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Qualidade dos medicamento","H","Saúde/Medicamentos e aparelhos","Medicamentos e aparelhos"
"Medicina natural","H","Saúde","Saúde"
"Acupuntura","H","Saúde","Saúde"
"Fitoterapia","H","Saúde","Saúde"
"Homeopatia","H","Saúde","Saúde"
"Orçamento de saúde","H","Saúde","Saúde"
"Participação e controle social em saúde","H","Saúde","Saúde"
"Conselhos de saúde","H","Saúde","Saúde"
"Direito dos usuários dos serviços de saúde","H","Saúde","Saúde"
"Ouvidoria","H","Saúde","Saúde"
"Recursos humanos em saúde","H","Saúde","Saúde"
"Gestão da educação em saúde","H","Saúde","Saúde"
"Gestão do trabalho em saúde","H","Saúde","Saúde"
"Sangue e hemoderivados","H","Saúde","Saúde"
"Banco de sangue","H","Saúde","Saúde"
"Saúde bucal","H","Saúde","Saúde"
"Brasil Sorridente","H","Saúde","Saúde"
"Saúde da criança","H","Saúde","Saúde"
"Aleitamento materno","H","Saúde","Saúde"
"Banco de leite humano","H","Saúde","Saúde"
"Mortalidade infantil","H","Saúde","Saúde"
"Saúde da família","H","Saúde","Saúde"
"Saúde da mulher","H","Saúde","Saúde"
"Mortalidade materna","H","Saúde","Saúde"
"Saúde da população negra","H","Saúde","Saúde"
"Saúde do adolescente e do jovem","H","Saúde","Saúde"
"Saúde do homem","H","Saúde","Saúde"
"Saúde do idoso","H","Saúde","Saúde"
"Saúde do indígena","H","Saúde","Saúde"
"Saúde do trabalhador","H","Saúde","Saúde"
"Saúde do viajante","H","Saúde","Saúde"
"Vacinação do viajante","H","Saúde","Saúde"
"Certificado Internacional de Vacinação e Profilaxia (CIVP)","H","Saúde","Saúde"
"Saúde dos portadores de deficiências","H","Saúde","Saúde"
"Saúde mental","H","Saúde","Saúde"
"Saúde no sistema penitenciário","H","Saúde","Saúde"
"Saúde ocular","H","Saúde","Saúde"
"Saúde reprodutiva","H","Saúde","Saúde"
"Sistema de informação em saúde","H","Saúde","Saúde"
"Cadastro nacional de estabelecimento de saúde","H","Saúde","Saúde"
"Cartão nacional de saúde","H","Saúde","Saúde"
"Estatísticas em saúde","H","Saúde","Saúde"
"Sistema de saúde","H","Saúde","Saúde"
"Sistema de saúde suplementar","H","Saúde","Saúde"
"Planos de saúde","H","Saúde","Saúde"
"Sistema Único de Saúde (SUS)","H","Saúde","Saúde"
"Planejamento e administração em saúde pública","H","Saúde","Saúde"
"Políticas e diretrizes para o SUS","H","Saúde","Saúde"
"Transplantes de órgãos e tecidos","H","Saúde","Saúde"
"Unidades de saúde","C","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Ambulatório","H","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Hospital","H","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Policlínica","H","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Posto de saúde","H","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Pronto socorro","H","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Unidade básica de saúde","H","Saúde/Assistência Hospitalar e Ambulatorial","Assistência Hospitalar e Ambulatorial"
"Vacinação","C","Saúde/Combate a epidemias","Combate a epidemias"
"Calendário de vacinação da criança","H","Saúde/Combate a epidemias","Combate a epidemias"
"Calendário de vacinação do adulto","H","Saúde/Combate a epidemias","Combate a epidemias"
"Calendário de vacinação do idoso","H","Saúde/Combate a epidemias","Combate a epidemias"
"Vigilância sanitária","C","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de produtos para o consumidor","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de agrotóxicos","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de alimentos","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de cosméticos","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de derivados do tabaco","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de medicamentos","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Qualidade de saneantes","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Vacinas","H","Saúde/Vigilância Sanitária","Vigilância Sanitária"
"Violência","H","Saúde","Saúde"
"Violência contra o idoso","H","Saúde","Saúde"
"Violência contra o menor","H","Saúde","Saúde"
"Violência de gênero","H","Saúde","Saúde"
"Violência doméstica","H","Saúde","Saúde"
"Violência urbana","H","Saúde","Saúde"
"Trabalho","C","Trabalho","Trabalho"
"Fiscalização do trabalho","H","Trabalho","Trabalho"
"Legislação trabalhista","H","Trabalho","Trabalho"
"Contrato de trabalho","H","Trabalho","Trabalho"
"Relações de trabalho","H","Trabalho","Trabalho"
"Segurança no trabalho","H","Trabalho","Trabalho"
"Mercado de trabalho","H","Trabalho","Trabalho"
"Desemprego","H","Trabalho","Trabalho"
"Emprego","H","Trabalho","Trabalho"
"Demanda de emprego","H","Trabalho","Trabalho"
"Oportunidades de emprego","H","Trabalho","Trabalho"
"Informações sociais","H","Trabalho","Trabalho"
"Política trabalhista","H","Trabalho","Trabalho"
"Alimentação do trabalhador","H","Trabalho","Trabalho"
"Contribuição previdenciária","H","Trabalho","Trabalho"
"Proteção ao trabalhador","H","Trabalho","Trabalho"
"Seguro desemprego","H","Trabalho","Trabalho"
"Transporte do trabalhador","H","Trabalho","Trabalho"
"Profissões e ocupações","H","Trabalho","Trabalho"
"Classificação brasileira de ocupações","H","Trabalho","Trabalho"
"Entidade representativa de classe","H","Trabalho","Trabalho"
"Regulamentação profissional","H","Trabalho","Trabalho"
"Qualificação e aprendizagem profissional","H","Trabalho","Trabalho"
"Trabalho estrangeiro","H","Trabalho","Trabalho"
"Transportes e trânsito","M","Transportes, Urbanismo",""
"Trânsito","H","Transportes","Transportes"
"Acidentes de trânsito","H","Transportes","Transportes"
"Educação no trânsito","H","Transportes","Transportes"
"Prevenção de acidentes de trânsito","H","Transportes","Transportes"
"Estatísticas de trânsito","H","Transportes","Transportes"
"Mapas","H","Transportes","Transportes"
"Multas / infrações","H","Transportes","Transportes"
"Parcelamento de multas","H","Transportes","Transportes"
"Radares","H","Transportes","Transportes"
"Transporte aéreo","C","Transportes/Transporte Aéreo","Transporte Aéreo"
"Transporte aquaviário","C","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Autorização de transporte aquaviário","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Fiscalização de transporte aquaviário","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Infraestrutura de transporte aquaviário","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Hidrovias interiores","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Portos","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Terminais privativos","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Marinha mercante","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Transporte aquaviário de cargas","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Transporte aquaviário de passageiros","H","Transportes/Transporte Hidroviário","Transporte Hidroviário"
"Transporte dutoviário","H","Transportes","Transportes"
"Gasodutos","H","Transportes","Transportes"
"Minerodutos","H","Transportes","Transportes"
"Oleodutos","H","Transportes","Transportes"
"Transporte especial","H","Transportes","Transportes"
"Transporte ferroviário","C","Transportes/Transporte Ferroviário","Transporte Ferroviário"
"Concessão de transporte ferroviário","H","Transportes/Transporte Ferroviário","Transporte Ferroviário"
"Fiscalização de transporte ferroviário","H","Transportes/Transporte Ferroviário","Transporte Ferroviário"
"Infraestrutura de transporte ferroviário","H","Transportes/Transporte Ferroviário","Transporte Ferroviário"
"Transporte ferroviário de cargas","H","Transportes/Transporte Ferroviário","Transporte Ferroviário"
"Transporte ferroviário de passageiros","H","Transportes/Transporte Ferroviário","Transporte Ferroviário"
"Transporte internacional","H","Transportes","Transportes"
"Transporte internacional de cargas","H","Transportes","Transportes"
"Transporte internacional de passageiros","H","Transportes","Transportes"
"Transporte multimodal","H","Transportes","Transportes"
"Operador de transporte multimodal","H","Transportes","Transportes"
"Serviços de coleta, unitização, desunitização, movimentação, armazenagem e entrega de cargas ao dest","H","Transportes","Transportes"
"Transporte rodoviário","C","Transportes/Transporte Rodoviário","Transporte Rodoviário"
"Concessão de transporte rodoviário","H","Transportes/Transporte Rodoviário","Transporte Rodoviário"
"Fiscalização de transporte rodoviário","H","Transportes/Transporte Rodoviário","Transporte Rodoviário"
"Infraestrutura de transporte rodoviário","H","Transportes/Transporte Rodoviário","Transporte Rodoviário"
"Transporte rodoviário de cargas","H","Transportes/Transporte Rodoviário","Transporte Rodoviário"
"Transporte rodoviário de passageiros","H","Transportes/Transporte Rodoviário","Transporte Rodoviário"
